Place_Id,Place_Name,Description,Category,City
20,Skywalk Cihampelas,Jalur pejalan kaki melayang di kawasan Cihampelas yang menjadi destinasi wisata kota sekaligus pusat jajanan kuliner.,Wisata Sejarah,Kota Bandung
21,Pasar Baru Bandung,"Pasar pusat perbelanjaan terkenal di Bandung yang menyediakan produk fashion, tekstil, garmen, dan kuliner lokal.",Pusat Perbelanjaan,Kota Bandung
22,ITC Kebon Kalapa,"Pusat perbelanjaan yang menawarkan kebutuhan fashion, elektronik, dan kuliner dengan harga terjangkau.",Pusat Perbelanjaan,Kota Bandung
23,Bandung Indah Plaza,"Mall pusat perbelanjaan modern di Kota Bandung yang menyediakan tenant belanja, hiburan, dan restoran keluarga.",Pusat Perbelanjaan,Kota Bandung
24,23 Paskal Shopping Center,Pusat perbelanjaan dan kuliner modern dengan konsep outdoor dan area nongkrong populer.,Pusat Perbelanjaan,Kota Bandung
25,Braga Citywalk,Pusat perbelanjaan dan hiburan di kawasan bersejarah Braga dengan berbagai tenant fashion modern.,Pusat Perbelanjaan,Kota Bandung
26,Festival Citylink,"Mall pusat perbelanjaan keluarga dengan fasilitas belanja, bioskop, hotel, dan pusat hiburan di Kota Bandung.",Pusat Perbelanjaan,Kota Bandung
27,Kiara Artha Park,"Taman kota modern dengan kolam buatan, taman lampu warna-warni, area budaya, dan pertunjukan air mancur menari.",Taman Kota,Kota Bandung
28,Babakan Siliwangi,Hutan kota di tengah Bandung dengan jalur pedestrian kayu dan suasana hutan tropis yang asri.,Wisata Alam,Kota Bandung
29,Bandung Zoo,Kebun binatang dengan koleksi satwa beragam dan fasilitas edukasi satwa untuk anak dan keluarga.,Wisata Edukasi,Kota Bandung
30,Karang Setra Waterpark,"Taman wahana air dengan berbagai kolam renang, seluncuran air, dan permainan air keluarga.",Taman Hiburan,Kota Bandung
31,Lapangan Gasibu,"Ruang terbuka publik luas yang sering digunakan untuk olahraga, rekreasi, dan kegiatan masyarakat di pusat kota.",Taman Kota,Kota Bandung
32,Stadion Gelora Bandung Lautan Api,Stadion olahraga sepak bola terbesar di Bandung yang menjadi markas Persib dan venue pertandingan olahraga besar.,Wisata Olahraga,Kota Bandung
33,Taman Vanda,Taman kota kecil dengan kolam air mancur dan area duduk yang nyaman di pusat Kota Bandung.,Taman Kota,Kota Bandung
34,Taman Merdeka,Taman publik kota dengan area hijau untuk bersantai dan beraktivitas warga di pusat kota.,Taman Kota,Kota Bandung
35,Taman Citarum,"Taman kota tepi sungai dengan area bermain anak, jogging track, dan ruang santai keluarga.",Taman Kota,Kota Bandung
36,Taman Veteran,Taman publik rindang yang cocok untuk rekreasi santai dan aktivitas keluarga warga Bandung.,Taman Kota,Kota Bandung
37,Taman Sukajadi,Taman kota di kawasan Sukajadi yang dimanfaatkan untuk rekreasi dan ruang hijau warga sekitar.,Taman Kota,Kota Bandung
38,Taman Antapani,Taman kota dengan fasilitas olahraga ringan dan area bermain anak di kawasan Antapani.,Taman Kota,Kota Bandung
39,Taman Arcamanik,"Taman publik yang menyediakan area olahraga, jogging track, dan ruang hijau untuk warga sekitar.",Taman Kota,Kota Bandung
40,Taman Gedebage,Taman kota di kawasan Gedebage yang digunakan sebagai area rekreasi dan aktivitas warga.,Taman Kota,Kota Bandung
41,Taman Asia Afrika,Taman tematik di pusat Kota Bandung dengan dekorasi landmark negara Asia-Afrika dan area bersantai.,Taman Kota,Kota Bandung
42,Jalan Asia Afrika,Jalan bersejarah yang menjadi pusat wisata heritage dan lokasi Konferensi Asia Afrika 1955.,Wisata Sejarah,Kota Bandung
43,Gedung Merdeka,Gedung bersejarah tempat berlangsungnya Konferensi Asia Afrika 1955 yang kini menjadi museum sejarah.,Wisata Sejarah,Kota Bandung
44,Masjid Raya Bandung,Masjid utama Kota Bandung dengan arsitektur modern dan menara observasi untuk melihat panorama kota.,Wisata Religi,Kota Bandung
45,Museum Sri Baduga,"Museum budaya Jawa Barat yang menyimpan koleksi sejarah, artefak, seni, dan budaya Sunda.",Museum,Kota Bandung
46,Museum Pos Indonesia,Museum yang menampilkan sejarah perkembangan layanan pos dan koleksi perangko Indonesia.,Museum,Kota Bandung
47,Museum Barli,Museum seni yang menampilkan karya lukisan dan koleksi seni milik pelukis Barli Sasmitawinata.,Museum,Kota Bandung
48,Museum Nike Ardilla,Museum yang menyimpan koleksi pribadi dan memorabilia penyanyi legendaris Nike Ardilla.,Museum,Kota Bandung
49,Taman Musik Centrum,"Taman tematik yang sering digunakan untuk pertunjukan musik, komunitas seni, dan aktivitas kreatif.",Taman Kota,Kota Bandung
50,Taman Fotografi,Taman publik bertema fotografi dengan mural dan spot foto favorit warga di Kota Bandung.,Taman Kota,Kota Bandung
51,Taman Sejarah,Taman edukatif dengan kolam bermain anak dan informasi sejarah Kota Bandung untuk wisata keluarga.,Taman Kota,Kota Bandung
52,Taman Tegalega,"Taman kota luas dengan area olahraga, ruang hijau, dan Monumen Bandung Lautan Api.",Taman Kota,Kota Bandung
53,Monumen Bandung Lautan Api,Monumen bersejarah yang dibangun untuk mengenang peristiwa Bandung Lautan Api 1946.,Wisata Sejarah,Kota Bandung
54,Gedung Indonesia Menggugat,Bangunan bersejarah tempat sidang Ir. Soekarno yang kini menjadi museum perjuangan nasional.,Wisata Sejarah,Kota Bandung
55,Stadion Siliwangi,Stadion olahraga bersejarah di Bandung yang digunakan untuk pertandingan sepak bola dan kegiatan olahraga.,Wisata Olahraga,Kota Bandung
56,Masjid Al Jabbar,Masjid modern dengan arsitektur megah dan area wisata religi yang menjadi ikon baru Jawa Barat.,Wisata Religi,Kota Bandung
57,Alun-Alun Ujung Berung,Alun-alun ruang publik di kawasan Ujung Berung yang digunakan untuk rekreasi dan kegiatan masyarakat.,Taman Kota,Kota Bandung
58,Alun-Alun Cicendo,"Alun-alun kota dengan area hijau, tempat bermain anak, dan fasilitas rekreasi keluarga.",Taman Kota,Kota Bandung
59,Pasar Cihapit,Pasar kuliner tradisional terkenal di Bandung yang menyajikan jajanan khas dan makanan rumahan Sunda.,Wisata Kuliner,Kota Bandung
60,Pasar Kosambi,Pasar kuliner tradisional populer yang menyediakan makanan khas Sunda dan jajanan lokal.,Wisata Kuliner,Kota Bandung
61,Pasar Andir,"Pasar kuliner tradisional di Bandung yang menyediakan berbagai makanan, jajanan, dan kuliner lokal.",Wisata Kuliner,Kota Bandung
62,Cibadak Food Street,"Kawasan kuliner malam dengan berbagai jajanan, makanan khas Bandung, dan street food modern.",Wisata Kuliner,Kota Bandung
63,Paskal Hyper Square,Kawasan pusat perbelanjaan dan kuliner dengan restoran dan area nongkrong modern.,Pusat Perbelanjaan,Kota Bandung
64,Kuliner Night Asia Afrika,Kawasan kuliner malam di sekitar Jalan Asia Afrika dengan berbagai jajanan dan suasana kota heritage.,Wisata Kuliner,Kota Bandung
65,Sudirman Street Day and Night Market,Pusat kuliner street food modern dengan konsep pasar malam dan beragam pilihan makanan lokal serta internasional.,Wisata Kuliner,Kota Bandung
66,Taman Saturnus,Taman kota dengan area hijau dan fasilitas santai untuk aktivitas warga sekitar.,Taman Kota,Kota Bandung
67,SPORT Jabar Arcamanik,"Kawasan olahraga terpadu dengan fasilitas lapangan, kolam renang, dan area olahraga masyarakat.",Wisata Olahraga,Kota Bandung
68,GOR Arcamanik,Gedung olahraga indoor yang digunakan untuk pertandingan dan kegiatan olahraga di Kota Bandung.,Wisata Olahraga,Kota Bandung
69,GOR dan Taman Saparua,Area olahraga dan taman publik dengan fasilitas lapangan dan ruang aktivitas olahraga warga Bandung.,Wisata Olahraga,Kota Bandung
70,Museum Mandala Wangsit Siliwangi,Museum perjuangan yang menyimpan koleksi sejarah militer dan perjuangan masyarakat Jawa Barat.,Museum,Kota Bandung
71,Monumen Perjuangan Rakyat Jawa Barat,Monumen bersejarah yang dibangun untuk mengenang perjuangan rakyat Jawa Barat melawan penjajahan.,Wisata Sejarah,Kota Bandung
72,Gedung Isola,Bangunan bersejarah berarsitektur kolonial yang kini menjadi ikon kampus UPI dan situs sejarah.,Wisata Sejarah,Kota Bandung
73,Penjara Banceuy Bandung,Situs bersejarah yang pernah menjadi tempat penahanan Ir. Soekarno pada masa perjuangan kemerdekaan.,Wisata Sejarah,Kota Bandung
74,Kebun Binatang Bandung,Kebun binatang dengan koleksi satwa beragam dan fasilitas edukasi satwa untuk keluarga.,Wisata Edukasi,Kota Bandung
76,Masjid Salman ITB,Masjid kampus terkenal di Bandung yang menjadi pusat kegiatan keagamaan dan pendidikan Islam.,Wisata Religi,Kota Bandung
77,Cibolang Hot Spring,Pemandian air panas alami dengan kolam berair hangat yang cocok untuk relaksasi dan terapi kesehatan.,Wisata Alam,Kota Bandung
78,Taman Lalu Lintas Ade Irma Suryani Nasution,Taman edukasi lalu lintas dengan wahana bermain miniatur jalan raya dan pembelajaran keselamatan berkendara untuk anak.,Wisata Edukasi,Kota Bandung
79,Curug Dago,Curug air terjun alami di kawasan Dago dengan nilai sejarah dan suasana hutan yang sejuk.,Wisata Alam,Kota Bandung
80,Plaza Cikapundung River Spot,"Plaza ruang publik tepi sungai dengan area santai, tempat duduk, dan suasana alam di kawasan Cikapundung.",Taman Kota,Kota Bandung
81,Taman Pustaka Bunga,Taman tematik dengan koleksi berbagai jenis bunga dan area hijau untuk rekreasi warga.,Taman Kota,Kota Bandung
82,Taman Cikapayang Dago,Taman kota di kawasan Dago dengan ruang hijau dan area santai untuk pengunjung.,Taman Kota,Kota Bandung
83,Margacinta Park,Taman publik dengan fasilitas olahraga ringan dan area rekreasi warga sekitar.,Taman Kota,Kota Bandung
84,Peta Park,Taman kota dengan area bermain anak dan ruang terbuka hijau untuk aktivitas warga.,Taman Kota,Kota Bandung
85,Taman Braga,Taman tematik di kawasan Braga yang menjadi tempat bersantai dan spot wisata kota.,Taman Kota,Kota Bandung
86,Snow Park at Panama Park,Taman hiburan indoor bertema salju buatan dengan wahana permainan keluarga musim dingin.,Taman Hiburan,Kota Bandung
87,Bandros (Bandung Tour on Bus),Layanan bus wisata kota yang mengajak wisatawan berkeliling ke berbagai destinasi heritage di Kota Bandung.,Wisata Sejarah,Kota Bandung
88,Alun-Alun Regol,Alun-alun ruang publik di kawasan Regol yang digunakan untuk rekreasi dan aktivitas masyarakat.,Taman Kota,Kota Bandung
89,Kampung Bamboo,"Tempat wisata keluarga dengan konsep saung bambu, kuliner Sunda, dan area santai bernuansa pedesaan.",Wisata Alam,Kota Bandung
90,SKY TREE Coffee & Eatery,Tempat kuliner kafe dengan pemandangan kota dan area foto modern di Bandung.,Wisata Kuliner,Kota Bandung
91,Kampung Korea Bandung,"Kawasan budaya bernuansa Korea dengan kuliner khas Korea, dekorasi hanok, dan spot foto bertema oriental.",Wisata Budaya,Kota Bandung
92,Glamping Lakeside Rancabali,"Glamping mewah di tepi Situ Patenggang dengan tenda nyaman, fasilitas penginapan modern, dan panorama danau pegunungan.",Wisata Alam,Kabupaten Bandung
93,Gunung Puntang,"Gunung wisata di Bandung Selatan untuk pendakian, hiking, dan camping dengan jalur trekking hutan dan situs sejarah radio Malabar.",Wisata Alam,Kabupaten Bandung
94,Curug Cimahi,Curug air terjun tinggi setinggi 87 meter di kawasan Cisarua dengan pencahayaan warna-warni pada malam hari.,Wisata Alam,Kabupaten Bandung
95,Curug Malela,Curug air terjun bertingkat lima undakan di Bandung Barat yang dijuluki Niagara Mini Indonesia.,Wisata Alam,Kabupaten Bandung
96,Tebing Keraton,Tebing wisata alam dengan panorama hutan dan pemandangan matahari terbit di kawasan Dago Bandung.,Wisata Alam,Kabupaten Bandung
97,Situ Cileunca,"Danau wisata di Pangalengan yang menawarkan aktivitas perahu dayung, rafting, dan area camping di tepi air.",Wisata Alam,Kabupaten Bandung
98,Pemandian Air Panas Ciwidey,Pemandian air panas alami di Ciwidey dengan kolam berair hangat alami untuk relaksasi dan terapi kesehatan.,Wisata Alam,Kabupaten Bandung
99,Barusen Hills,"Tempat wisata perbukitan di Ciwidey dengan taman bunga, kolam renang, dan area rekreasi keluarga.",Wisata Alam,Kabupaten Bandung
100,Skyline Best View Resto,Restoran kuliner dengan panorama Kota Bandung dari ketinggian dan area foto outdoor modern.,Wisata Kuliner,Kabupaten Bandung
101,Ranca Upas,Kawasan wisata camping ground luas dengan penangkaran rusa dan pemandian air panas di Ciwidey.,Wisata Alam,Kabupaten Bandung
102,Grafika Cikole,Tempat wisata hutan pinus dan penginapan dengan area outbound serta aktivitas outdoor keluarga di Cikole Lembang.,Wisata Alam,Kabupaten Bandung
103,Farmhouse Lembang,Taman hiburan keluarga bertema peternakan Eropa dengan spot foto rumah hobbit dan kuliner khas susu segar.,Taman Hiburan,Kabupaten Bandung
104,Kawah Cibuni Rengganis,"Kawah belerang vulkanik dengan kawah aktif dan kawah kaldera, kolam kawah sumber air panas di Ciwidey.",Wisata Alam,Kabupaten Bandung
105,The Lodge Maribaya,"Tempat wisata dengan wahana sky swing, hot air balloon, dan spot foto di hutan pinus Maribaya Lembang.",Wisata Alam,Kabupaten Bandung
106,Maribaya Hot Spring,Pemandian air panas alami di Maribaya dengan fasilitas relaksasi dan kolam berair hangat berundak.,Wisata Alam,Kabupaten Bandung
107,Lembah Tengkorak Base Camp Via Bukit Tunggul,Area pendakian dan camping ground dengan jalur trekking menuju puncak Bukit Tunggul.,Wisata Alam,Kabupaten Bandung
108,Dago Pakar,"Kawasan wisata dataran tinggi di Bandung Utara dengan kuliner, suasana sejuk, dan pemandangan Kota Bandung dari atas.",Wisata Alam,Kabupaten Bandung
109,Taman Hutan Raya Djuanda,"Taman hutan raya kawasan konservasi dengan jalur trekking, gua bersejarah, dan flora-fauna lindung di Bandung Utara.",Wisata Alam,Kabupaten Bandung
110,Goa Jepang,Goa peninggalan tentara Jepang pada Perang Dunia II yang menjadi situs sejarah di Tahura Djuanda.,Wisata Sejarah,Kabupaten Bandung
111,Goa Belanda,Goa bersejarah peninggalan kolonial Belanda yang berada di kawasan Tahura Djuanda Dago.,Wisata Sejarah,Kabupaten Bandung
112,Situ Patengan,Danau wisata di Ciwidey dengan panorama perkebunan teh dan aktivitas perahu mengunjungi Pulau Asmara.,Wisata Alam,Kabupaten Bandung
113,Stone Garden,Kawasan wisata batuan kapur purba dengan formasi batu unik dan spot foto bertema alam terbuka di Padalarang.,Wisata Alam,Kabupaten Bandung
114,Puncak Bintang,Bukit wisata dengan area camping dan landmark bintang besar yang menyajikan panorama Kota Bandung dari ketinggian.,Wisata Alam,Kabupaten Bandung
115,Bukit Moko,Bukit wisata populer untuk menikmati pemandangan lampu malam Kota Bandung dan suasana dataran tinggi.,Wisata Alam,Kabupaten Bandung
116,Wisata Batu Kuda,Kawasan wisata hutan pinus dan camping di kaki Gunung Manglayang dengan udara sejuk pegunungan.,Wisata Alam,Kabupaten Bandung
117,De Ranch Lembang,"Taman hiburan keluarga bertema koboi dengan wahana berkuda, area bermain anak, dan suasana ranch ala Amerika.",Taman Hiburan,Kabupaten Bandung
118,Lembang Park Zoo,"Kebun binatang modern dengan koleksi satwa langka, wahana bermain, dan fasilitas edukasi untuk keluarga.",Wisata Edukasi,Kabupaten Bandung
119,Taman Begonia,Taman bunga di Lembang dengan koleksi tanaman hias begonia warna-warni dan spot foto bertema taman.,Wisata Alam,Kabupaten Bandung
120,Curug Omas,Curug air terjun di kawasan Maribaya dengan panorama hutan dan jalur trekking yang sejuk.,Wisata Alam,Kabupaten Bandung
121,Curug Tilu,Curug air terjun alami dengan tiga undakan aliran air jernih di kawasan Bandung Barat.,Wisata Alam,Kabupaten Bandung
122,Curug Panganten,Curug air terjun kembar dengan dua aliran air berdampingan dan suasana hutan yang asri.,Wisata Alam,Kabupaten Bandung
123,Bukit Cukul Pangalengan,Bukit wisata dengan hamparan perkebunan teh dan spot menikmati matahari terbit di Pangalengan.,Wisata Alam,Kabupaten Bandung
124,Gunung Wayang,"Gunung wisata di Pangalengan untuk pendakian, hiking, dan menikmati panorama puncak gunung.",Wisata Alam,Kabupaten Bandung
125,Gunung Windu,Gunung wisata di Pangalengan dengan jalur pendakian dan area camping di puncak.,Wisata Alam,Kabupaten Bandung
126,Situ Cisanti,Danau alami sumber mata air utama Sungai Citarum dengan suasana pegunungan yang tenang.,Wisata Alam,Kabupaten Bandung
127,Kampung Singkur,Tempat wisata di tepi Sungai Palayangan dengan aktivitas arung jeram dan area camping di Pangalengan.,Wisata Alam,Kabupaten Bandung
128,Sungai Palayangan,Sungai wisata terkenal untuk aktivitas arung jeram dan rafting di kawasan Pangalengan.,Wisata Alam,Kabupaten Bandung
129,Kebun Teh Malabar,"Perkebunan teh luas dengan hamparan hijau, peninggalan kolonial Belanda, dan udara sejuk di Pangalengan.",Wisata Alam,Kabupaten Bandung
130,Situ Cangkuang,Danau wisata dengan area rekreasi masyarakat dan suasana alam yang tenang.,Wisata Alam,Kabupaten Bandung
131,Kampung Naga,Kampung adat Sunda yang mempertahankan budaya tradisional dan rumah panggung khas masyarakat Sunda.,Wisata Budaya,Kabupaten Bandung
132,Curug Batu Templek,Curug air terjun unik dengan tebing batu berlapis seperti tumpukan lempengan di kawasan Cisanggarung.,Wisata Alam,Kabupaten Bandung
133,Curug Cinulang,Curug air terjun alami di perbatasan Bandung dengan panorama hutan dan aliran air yang deras.,Wisata Alam,Kabupaten Bandung
134,Curug Halimun,Curug air terjun dengan suasana hutan yang sejuk dan jalur trekking di kawasan Bandung Selatan.,Wisata Alam,Kabupaten Bandung
135,Curug Siliwangi,Curug air terjun alami dengan pemandangan hutan dan udara pegunungan yang segar.,Wisata Alam,Kabupaten Bandung
136,Gunung Bukittunggul,"Gunung di Bandung Utara untuk pendakian, hiking, dan camping di puncak dengan panorama alam.",Wisata Alam,Kabupaten Bandung
137,Curug Cilengkrang,Curug air terjun di Tahura Djuanda dengan kolam alami berair hangat dan jalur trekking pendek.,Wisata Alam,Kabupaten Bandung
138,Curug Cipanji,Curug air terjun tinggi di Bandung Barat dengan panorama alam alami dan jalur trekking.,Wisata Alam,Kabupaten Bandung
139,Gunung Malabar,Gunung di Bandung Selatan untuk pendakian dengan perkebunan teh di lerengnya.,Wisata Alam,Kabupaten Bandung
140,Situ Cipanunjang,Danau alami di Pangalengan dengan panorama pegunungan dan udara sejuk pedesaan.,Wisata Alam,Kabupaten Bandung
141,Situ Cileunca Camping,Area camping di tepi Situ Cileunca dengan panorama danau dan fasilitas wisata alam.,Wisata Alam,Kabupaten Bandung
142,Rafting Pangalengan Bandung,Wisata arung jeram dengan jalur Sungai Palayangan yang menantang untuk aktivitas rafting outdoor.,Wisata Olahraga,Kabupaten Bandung
143,Teras Danoe Official camping Site,Area camping di tepi danau dengan pemandangan air dan suasana pedesaan pegunungan.,Wisata Alam,Kabupaten Bandung
144,Tepi Sungai Resto Pasirjambu,Restoran kuliner Sunda di tepi sungai dengan menu khas dan suasana pedesaan yang sejuk.,Wisata Kuliner,Kabupaten Bandung
145,Hulu Mata Air Sungai Cisangkuy,Kawasan sumber mata air alami dengan air jernih dan lingkungan hutan yang asri.,Wisata Alam,Kabupaten Bandung
146,Bandungrafting Basecamp,Basecamp arung jeram yang menyediakan aktivitas rafting dan petualangan outdoor di Bandung Selatan.,Wisata Olahraga,Kabupaten Bandung
147,Rafting ciwidey (arung jeram),Wisata arung jeram di kawasan Ciwidey dengan aliran sungai menantang dan panorama alam.,Wisata Olahraga,Kabupaten Bandung
148,Bale Bambu Adventure Resort,"Resort wisata alam dengan penginapan bambu, outbound, dan aktivitas outdoor keluarga.",Wisata Alam,Kabupaten Bandung
149,Perkebunan Teh RANCABALI,"Perkebunan teh luas dengan hamparan hijau, udara pegunungan sejuk, dan kebun teh peninggalan kolonial.",Wisata Alam,Kabupaten Bandung
150,Kebun Teh Pangalengan,Perkebunan teh luas di Pangalengan dengan hamparan hijau dan jalur wisata pemandangan.,Wisata Alam,Kabupaten Bandung
151,Perkebunan Teh Purbasari,Perkebunan teh dengan suasana pedesaan dan pemandangan pegunungan yang asri di Pangalengan.,Wisata Alam,Kabupaten Bandung
152,Sunrise Point Cukul,Spot menikmati matahari terbit dengan panorama perkebunan teh di Pangalengan.,Wisata Alam,Kabupaten Bandung
153,Bukit Indah Gambung,Bukit wisata dengan pemandangan perkebunan teh dan suasana pedesaan pegunungan di Bandung Selatan.,Wisata Alam,Kabupaten Bandung
154,Bukit Jamur Rancabolang Pasirjambu,Bukit dengan pepohonan menyerupai jamur raksasa dan udara sejuk khas pegunungan.,Wisata Alam,Kabupaten Bandung
155,Dermaga Bintang,Dermaga wisata tepi air dengan panorama perbukitan teh di kawasan Ciwidey Bandung Selatan.,Wisata Alam,Kabupaten Bandung
157,Taman Wisata Bougenville,"Taman bunga bougenville dengan koleksi warna-warni, penginapan, dan suasana pegunungan sejuk.",Wisata Alam,Kabupaten Bandung
158,Teras Bintang,Spot wisata dengan area santai dan panorama pegunungan di Bandung Selatan.,Wisata Alam,Kabupaten Bandung
159,Bukit Teletubbies Cicalengka,Bukit hijau dengan kontur perbukitan menyerupai latar serial Teletubbies dan area foto unik.,Wisata Alam,Kabupaten Bandung
160,Kedaton Bukit Panyawangan Pangalengan,Bukit wisata dengan area camping dan panorama perbukitan hijau di Pangalengan.,Wisata Alam,Kabupaten Bandung
161,Taman Langit Pangalengan (Sunrise Point & Camping Ground),Taman spot camping dengan panorama matahari terbit dan pemandangan dataran tinggi di Pangalengan.,Wisata Alam,Kabupaten Bandung
162,Bukit Eon,Bukit wisata dengan panorama alam terbuka dan area camping di Bandung Selatan.,Wisata Alam,Kabupaten Bandung
163,Nuansa Riung gunung Pangalengan,"Tempat wisata gunung dengan jembatan kayu, perkebunan teh, dan area glamping di kawasan Pangalengan.",Wisata Alam,Kabupaten Bandung
165,Puncak Sulibra artapela,Bukit wisata dataran tinggi dengan panorama puncak gunung dan area camping di Bandung Selatan.,Wisata Alam,Kabupaten Bandung
166,Bukit Rahong,Bukit wisata dengan panorama hutan pinus dan area camping di kawasan Pangalengan.,Wisata Alam,Kabupaten Bandung
167,NIMO Highland,"Tempat wisata modern di dataran tinggi dengan jembatan langit, spot foto, dan panorama Pangalengan.",Wisata Alam,Kabupaten Bandung
169,Kebun Teh Kertamanah,Perkebunan teh dengan hamparan hijau luas dan udara sejuk di kawasan Pangalengan.,Wisata Alam,Kabupaten Bandung
170,Situ Datar Buana,Danau wisata alami dengan suasana tenang dan panorama perbukitan sekitar.,Wisata Alam,Kabupaten Bandung
172,Cileunca Land,Tempat wisata keluarga di sekitar Situ Cileunca dengan area camping dan aktivitas outdoor.,Wisata Alam,Kabupaten Bandung
173,Tepian Langit Girang. TLG,Spot wisata dengan panorama perbukitan dan area santai di Pangalengan.,Wisata Alam,Kabupaten Bandung
174,Wayang windu Panenjoan,Tempat wisata dengan jembatan kayu panjang dan panorama perkebunan teh di kawasan Wayang Windu.,Wisata Alam,Kabupaten Bandung
176,Gunung Artapela,Gunung wisata di Bandung Selatan untuk pendakian dan camping di puncak.,Wisata Alam,Kabupaten Bandung
177,Kebun Teh Riung Gunung,Perkebunan teh dengan jalur wisata gunung dan panorama dataran tinggi di Pangalengan.,Wisata Alam,Kabupaten Bandung
178,Gunung Nini,Gunung bukit wisata dengan panorama perkebunan teh dan spot menikmati sunrise di Pangalengan.,Wisata Alam,Kabupaten Bandung
179,Hutan Pinus Rahong,Hutan pinus dengan area camping dan aktivitas outdoor di kawasan Rahong.,Wisata Alam,Kabupaten Bandung
180,Padaawas Hills Pengalengan Bandung,Tempat wisata dengan area camping dan pemandangan perbukitan hijau di Pangalengan.,Wisata Alam,Kabupaten Bandung
181,Gravity Adventure,"Tempat wisata petualangan dengan aktivitas outdoor, paintball, dan permainan alam terbuka.",Wisata Olahraga,Kabupaten Bandung
182,Lembah Pineus Rahong,"Tempat wisata dengan area glamping, sungai jernih, dan hutan pinus di kawasan Rahong.",Wisata Alam,Kabupaten Bandung
183,Singkur Village,"Tempat wisata dengan konsep sungai, rafting, dan camping keluarga di Pangalengan.",Wisata Alam,Kabupaten Bandung
184,Green Corner Camping Pangalengan,Area camping dengan panorama perkebunan teh dan suasana pedesaan yang sejuk.,Wisata Alam,Kabupaten Bandung
185,Kiara Manuk,Tempat wisata dengan area camping dan panorama perbukitan di Bandung Selatan.,Wisata Alam,Kabupaten Bandung
186,Alam Singkur,"Tempat wisata di Pangalengan dengan rafting, camping, dan aktivitas outdoor keluarga.",Wisata Alam,Kabupaten Bandung
187,Pesona padaawas,Tempat wisata petualangan dengan panorama perbukitan dan area camping di Bandung Selatan.,Wisata Olahraga,Kabupaten Bandung
