Place_Id,Place_Name,Description,Category,City,desc_length,combined_text,processed_text
74,Kebun Binatang Bandung,Tempat wisata edukasi dengan koleksi berbagai satwa dan fasilitas rekreasi keluarga.,Wisata Edukasi,Kota Bandung,84,Tempat wisata edukasi dengan koleksi berbagai satwa dan fasilitas rekreasi keluarga. Wisata Edukasi,tempat wisata edukasi koleksi bagai satwa fasilitas rekreasi keluarga wisata edukasi
75,Taman Sejarah Bandung,Taman tematik edukatif dengan area bermain air dan informasi sejarah Kota Bandung.,Taman Kota,Kota Bandung,82,Taman tematik edukatif dengan area bermain air dan informasi sejarah Kota Bandung. Taman Kota,taman tematik edukatif area main air informasi sejarah kota bandung taman kota
76,Masjid Salman ITB,Masjid kampus terkenal di Bandung yang menjadi pusat kegiatan keagamaan dan pendidikan Islam.,Wisata Religi,Kota Bandung,93,Masjid kampus terkenal di Bandung yang menjadi pusat kegiatan keagamaan dan pendidikan Islam. Wisata Religi,masjid kampus kenal bandung jadi pusat giat agama didik islam wisata religi
77,Cibolang Hot Spring,Pemandian air panas alami dengan suasana pegunungan yang cocok untuk relaksasi wisatawan.,Wisata Alam,Kota Bandung,89,Pemandian air panas alami dengan suasana pegunungan yang cocok untuk relaksasi wisatawan. Wisata Alam,mandi air panas alami suasana gunung cocok relaksasi wisatawan wisata alam
78,Taman Lalu Lintas Ade Irma Suryani Nasution,Taman edukasi lalu lintas dengan wahana bermain dan pembelajaran keselamatan berkendara untuk anak-anak.,Wisata Edukasi,Kota Bandung,104,Taman edukasi lalu lintas dengan wahana bermain dan pembelajaran keselamatan berkendara untuk anak-anak. Wisata Edukasi,taman edukasi lalu lintas wahana main ajar selamat kendara anakanak wisata edukasi
79,Curug Dago,Air terjun alami di kawasan Dago yang memiliki nilai sejarah dan suasana alam yang sejuk.,Wisata Alam,Kota Bandung,89,Air terjun alami di kawasan Dago yang memiliki nilai sejarah dan suasana alam yang sejuk. Wisata Alam,air terjun alami kawasan dago milik nilai sejarah suasana alam sejuk wisata alam
80,Plaza Cikapundung River Spot,"Ruang wisata tepi sungai dengan area santai, tempat duduk, dan suasana alam di kawasan Cikapundung.",Taman Kota,Kota Bandung,99,"Ruang wisata tepi sungai dengan area santai, tempat duduk, dan suasana alam di kawasan Cikapundung. Taman Kota",ruang wisata tepi sungai area santai tempat duduk suasana alam kawasan cikapundung taman kota
81,Taman Pustaka Bunga,Taman tematik dengan berbagai jenis bunga dan area hijau untuk rekreasi masyarakat.,Taman Kota,Kota Bandung,83,Taman tematik dengan berbagai jenis bunga dan area hijau untuk rekreasi masyarakat. Taman Kota,taman tematik bagai jenis bunga area hijau rekreasi masyarakat taman kota
82,Taman Balai Kota Bandung,"Taman kota di pusat Bandung dengan fasilitas bermain, kolam, dan area bersantai keluarga.",Taman Kota,Kota Bandung,89,"Taman kota di pusat Bandung dengan fasilitas bermain, kolam, dan area bersantai keluarga. Taman Kota",taman kota pusat bandung fasilitas main kolam area santa keluarga taman kota
83,Taman Cikapayang Dago,Taman kota di kawasan Dago yang memiliki ruang hijau dan area santai untuk pengunjung.,Taman Kota,Kota Bandung,86,Taman kota di kawasan Dago yang memiliki ruang hijau dan area santai untuk pengunjung. Taman Kota,taman kota kawasan dago milik ruang hijau area santai unjung taman kota
